@relation data

@attribute titre numeric
@attribute url numeric
@attribute sitename numeric
@attribute datedepublication numeric
@attribute datedepostule numeric
@attribute adressdelentreprise numeric
@attribute sitewebdentreprise numeric
@attribute descriptiondelentreprise numeric
@attribute descriptiondeposte numeric
@attribute region numeric
@attribute ville numeric
@attribute secteurdactivite numeric
@attribute metier numeric
@attribute typedecontrat numeric
@attribute niveaudetude numeric
@attribute diplome numeric
@attribute experience numeric
@attribute profilerecherche numeric
@attribute traitsdepersonnalite numeric
@attribute hardskills numeric
@attribute softskills numeric
@attribute competencerecommandees numeric
@attribute langue numeric
@attribute niveaudelalangue numeric
@attribute salaire numeric
@attribute avantagesociaux numeric
@attribute teletravail numeric
@attribute nomdentreprise numeric

@data
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,2,1,1,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,3,1,1,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,6,0,0,0,4,6,1,1,1,5,5,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,3,1,1,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,4,4,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,1,2,3,3,2,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,10,0,0,0,12,10,4,1,2,3,3,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,1,2,3,3,2,0,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,1,2,3,3,2,0,0,0,0,0,1,3,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,2,1,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,2,0,0,0,3,2,1,1,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,1,3,3,1,0,0,0,0,0,11,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,1,5,5,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,2,1,4,4,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,1,1,3,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,6,0,0,0,4,6,1,1,1,3,3,2,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,6,0,0,0,4,6,1,1,1,3,3,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,12,0,1,1,3,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,4,5,5,5,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,1,2,4,4,2,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,10,0,0,0,12,10,4,1,2,3,3,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,5,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,4,1,2,2,2,2,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,5,2,2,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,19,0,0,0,5,19,1,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,5,2,2,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,1,1,1,5,5,4,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,3,0,0,0,12,3,1,1,1,5,5,3,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,5,2,2,2,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,3,1,1,3,3,2,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,1,1,3,5,5,4,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,1,5,2,2,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,4,0,0,0,2,4,5,1,1,5,5,3,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,1,5,3,5,3,3,2,0,0,0,0,0,1,1,0,0,0,0
