"adressdelentreprise","region","ville","secteurdactivite","metier","typedecontrat","niveaudetude","diplome","experience","langue","niveaudelalangue"
"1","1","1","1","1","1","5","5","3","1","1"
"1","1","1","2","1","1","5","5","4","1","1"
"1","1","1","3","1","1","5","5","3","3","1"
"6","4","6","1","1","1","5","5","2","1","1"
"4","2","4","1","1","1","5","5","2","1","1"
"1","1","1","1","1","3","5","5","3","1","1"
"1","1","1","1","1","3","5","5","3","1","1"
"4","2","4","1","1","1","5","5","4","1","1"
"4","2","4","1","1","1","5","5","3","1","1"
"4","2","4","1","1","1","5","5","4","1","1"
"1","1","1","3","1","1","5","5","3","3","1"
"1","1","1","1","1","3","4","4","3","1","1"
"3","12","3","4","1","2","3","3","2","1","2"
"1","1","1","1","1","1","5","5","3","1","1"
"10","12","10","4","1","2","3","3","1","1","1"
"3","12","3","4","1","2","3","3","2","1","2"
"3","12","3","4","1","2","3","3","2","1","3"
"1","1","1","1","1","1","5","5","4","1","1"
"1","1","1","1","1","1","5","5","3","3","1"
"1","1","1","1","1","1","5","5","2","1","1"
"1","1","1","2","1","1","2","2","2","1","1"
"2","3","2","1","1","1","2","2","2","1","1"
"1","1","1","1","1","1","5","5","3","1","1"
"1","1","1","1","1","3","5","5","4","1","1"
"1","1","1","5","1","1","3","3","1","11","1"
"1","1","1","5","1","1","5","5","2","0","5"
"1","1","1","1","1","3","5","5","3","1","1"
"1","1","1","1","1","3","5","5","3","1","1"
"1","1","1","1","2","1","4","4","1","1","1"
"0","12","0","1","1","3","5","5","3","3","1"
"6","4","6","1","1","1","3","3","2","3","1"
"6","4","6","1","1","1","3","3","2","1","1"
"4","2","4","1","1","1","5","5","2","1","1"
"4","2","4","1","1","1","5","5","3","1","1"
"0","12","0","1","1","3","5","5","3","3","1"
"1","1","1","1","1","4","5","5","5","1","1"
"3","12","3","4","1","2","4","4","2","3","1"
"10","12","10","4","1","2","3","3","3","3","1"
"1","1","1","1","1","3","5","5","3","1","1"
"4","2","4","5","1","1","5","5","3","1","1"
"3","12","3","4","1","2","2","2","2","1","1"
"1","1","1","5","1","5","2","2","2","0","5"
"19","5","19","1","1","1","5","5","3","1","1"
"1","1","1","5","1","5","2","2","1","1","1"
"3","12","3","1","1","1","5","5","4","3","1"
"3","12","3","1","1","1","5","5","3","3","1"
"1","1","1","1","1","3","5","5","3","1","1"
"1","1","1","1","1","3","5","5","4","1","1"
"1","1","1","5","1","5","2","2","2","0","5"
"1","1","1","1","1","3","5","5","4","1","1"
"1","1","1","1","1","3","5","5","4","1","1"
"1","1","1","3","1","1","3","3","2","3","1"
"1","1","1","1","1","3","5","5","4","1","1"
"1","1","1","5","1","5","2","2","1","1","1"
"4","2","4","5","1","1","5","5","3","1","1"
"1","1","1","5","3","5","3","3","2","1","1"
"1","1","1","1","1","3","5","5","4","1","1"
"0","12","0","1","1","1","5","5","3","1","1"
"20","2","20","5","1","1","5","5","3","1","1"
"4","2","4","5","1","1","2","2","2","1","1"
"21","12","21","1","1","3","5","5","3","1","1"
"3","12","3","1","1","3","5","5","3","1","1"
"3","12","3","1","1","3","5","5","3","1","1"
